000871 14 4 0.392 
001189 11 4 0.397 
001062 17 4 0.332 
000980 11 4 0.327 
001079 14 4 0.304 
001097 6 4 0.307 
001619 31 2 0.195 
001393 13 4 0.377 
001120 18 4 0.391 
001121 13 4 0.303 
001742 61 5 0.397 
001395 9 4 0.246 
001108 11 4 0.405 
000153 8 2 0.626 
001364 13 4 0.347 
000866 13 4 0.327 
001542 49 5 0.306 
001058 15 4 0.332 
001013 18 4 0.315 
001019 14 4 0.346 
001061 20 4 0.404 
001390 11 4 0.371 
001160 13 4 0.343 
000969 17 4 0.299 
001330 12 4 0.387 
000401 17 3 0.249 
000303 33 2 0.552 
000823 12 4 0.368 
000366 15 2 0.52 
000144 14 2 0.617 
000202 8 2 0.434 
001518 69 5 0.3 
000129 45 2 0.558 
001673 63 5 0.341 
000280 15 2 0.471 
001748 57 5 0.345 
001334 13 4 0.343 
001378 9 4 0.358 
001084 8 4 0.459 
001312 13 4 0.196 
001672 63 5 0.341 
001277 10 4 0.277 
001513 71 6 0.32 
001404 12 4 0.225 
001290 11 4 0.315 
001596 59 5 0.323 
001485 17 7 0.252 
001258 11 4 0.362 
000913 19 4 0.377 
001174 8 4 0.38 
000337 67 2 0.56 
000340 14 2 0.334 
001268 15 4 0.314 
001247 8 4 0.336 
001265 13 4 0.283 
000341 16 2 0.218 
000258 53 2 0.542 
000328 45 2 0.555 
001010 11 4 0.34 
000951 17 4 0.271 
001361 12 4 0.28 
001192 3 4 0.418 
001345 16 4 0.342 
000504 49 7 0.335 
000560 43 5 0.298 
000479 35 2 0.345 
001627 71 5 0.37 
000389 11 2 0.523 
001527 63 5 0.273 
000917 15 4 0.271 
000335 22 2 0.391 
000212 17 2 0.542 
001321 12 4 0.378 
001239 19 4 0.229 
000458 37 8 0.391 
000406 5 2 0.471 
000367 45 2 0.546 
001576 45 6 0.329 
001112 6 4 0.371 
001738 79 5 0.387 
001123 11 4 0.376 
001559 23 3 0.258 
000876 12 4 0.275 
001156 12 4 0.394 
000030 35 2 0.563 
000121 11 2 0.62 
000265 17 2 0.497 
000068 5 2 0.516 
000099 9 2 0.607 
000161 10 2 0.614 
001341 12 4 0.278 
000168 11 2 0.615 
000222 39 2 0.554 
001665 73 7 0.249 
000588 45 8 0.741 
001085 11 4 0.329 
000531 45 6 0.247 
000501 43 5 0.251 
000425 17 6 0.32 
001186 9 4 0.376 
001355 13 4 0.316 
001172 9 4 0.336 
001118 15 4 0.313 
001027 7 4 0.359 
001226 3 3 0.286 
001357 13 4 0.394 
000146 10 2 0.481 
001296 10 4 0.231 
000183 47 2 0.555 
001275 11 3 0.207 
000224 10 2 0.547 
000465 39 8 0.682 
001050 14 4 0.294 
000085 10 2 0.544 
001091 5 2 0.212 
000299 12 2 0.622 
001445 51 2 0.56 
000086 41 2 0.55 
001245 14 2 0.191 
000200 37 2 0.537 
000747 41 5 0.254 
000607 33 8 0.648 
000464 39 8 0.682 
000882 6 4 0.303 
001684 45 3 0.24 
001232 12 4 0.317 
001737 79 5 0.387 
001526 23 5 0.302 
001224 15 4 0.256 
001110 15 4 0.281 
001103 11 4 0.338 
001131 15 4 0.272 
000649 33 8 0.495 
001634 32 3 0.256 
001714 23 2 0.241 
000955 15 4 0.39 
000320 11 3 0.229 
000376 9 2 0.477 
000739 43 8 0.696 
001359 9 3 0.221 
000363 51 2 0.542 
001726 69 5 0.289 
000193 51 2 0.525 
001583 57 7 0.25 
001205 17 4 0.337 
000017 19 2 0.53 
000309 21 2 0.495 
000381 8 2 0.499 
000087 41 2 0.55 
000788 33 7 0.311 
001574 15 3 0.192 
001649 48 3 0.204 
000596 35 2 0.401 
000795 47 8 0.639 
001198 6 4 0.404 
001399 11 4 0.352 
001669 51 3 0.277 
000295 7 2 0.37 
000127 7 2 0.435 
001591 35 2 0.662 
000227 45 2 0.562 
000832 16 4 0.364 
001002 9 4 0.328 
000546 41 8 0.695 
001191 11 4 0.278 
001590 35 2 0.662 
001223 10 4 0.264 
000154 10 2 0.417 
000621 43 7 0.272 
001550 37 5 0.259 
001461 41 7 0.271 
001343 12 4 0.346 
001568 71 6 0.327 
000175 13 2 0.537 
001481 29 6 0.337 
001063 19 4 0.369 
000667 47 8 0.737 
001052 7 4 0.345 
001353 13 4 0.257 
000333 45 2 0.565 
001647 53 6 0.298 
001483 65 6 0.323 
001610 39 5 0.312 
000690 37 7 0.433 
001288 11 4 0.346 
000135 15 2 0.609 
000576 41 8 0.578 
000942 9 4 0.26 
000213 17 2 0.542 
000277 59 2 0.544 
000733 51 8 0.551 
000369 15 2 0.527 
001667 79 7 0.397 
000510 31 7 0.468 
000266 11 2 0.476 
001615 45 7 0.281 
001015 19 4 0.412 
001475 35 2 0.658 
000184 47 2 0.555 
001436 53 5 0.298 
001617 61 5 0.388 
001632 75 5 0.322 
001351 12 4 0.358 
001697 73 5 0.305 
001344 8 4 0.268 
001500 21 5 0.258 
001067 13 4 0.383 
000758 41 7 0.289 
000723 39 8 0.439 
001325 11 4 0.325 
000914 13 4 0.286 
000708 47 8 0.692 
001347 11 4 0.288 
001444 20 3 0.261 
000484 43 7 0.255 
000419 41 6 0.321 
001369 12 4 0.368 
001094 13 4 0.379 
001051 12 4 0.408 
000710 35 2 0.33 
001580 59 6 0.343 
001451 49 8 0.261 
001553 63 5 0.338 
001374 12 4 0.255 
000128 11 2 0.502 
000732 51 8 0.551 
001606 61 5 0.316 
001616 45 7 0.281 
000062 4 2 0.503 
001505 23 5 0.267 
000031 12 2 0.625 
000783 33 6 0.3 
000138 45 2 0.547 
001271 11 4 0.234 
001155 12 4 0.259 
001588 59 5 0.339 
001414 29 3 0.237 
000994 8 4 0.292 
000455 43 5 0.245 
000559 45 5 0.301 
001432 59 5 0.337 
001540 25 5 0.298 
001377 12 3 0.208 
