
Multiple GPUs detected! Turning off JIT.
Scaling parameters by 3.00 to account for a batch size of 24.
loading annotations into memory...
Done (t=53.20s)
creating index...
index created!
loading annotations into memory...
Done (t=4.40s)
creating index...
index created!
Initializing weights...
Begin training!

[  0]     420 || B: 1.338 | C: 1.642 | M: 1.379 | S: 0.107 | T: 4.467 || ETA: 1 day, 15:42:35 || timer: 0.919
[  0]     430 || B: 1.306 | C: 1.611 | M: 1.350 | S: 0.107 | T: 4.374 || ETA: 1 day, 15:35:18 || timer: 0.915
[  0]     440 || B: 1.294 | C: 1.585 | M: 1.339 | S: 0.108 | T: 4.325 || ETA: 1 day, 16:25:08 || timer: 0.890
[  0]     450 || B: 1.289 | C: 1.571 | M: 1.327 | S: 0.110 | T: 4.297 || ETA: 1 day, 16:16:28 || timer: 0.903
[  0]     460 || B: 1.274 | C: 1.553 | M: 1.306 | S: 0.110 | T: 4.242 || ETA: 1 day, 16:09:30 || timer: 0.886
[  0]     470 || B: 1.254 | C: 1.538 | M: 1.281 | S: 0.109 | T: 4.182 || ETA: 1 day, 16:02:26 || timer: 0.937
[  0]     480 || B: 1.242 | C: 1.521 | M: 1.259 | S: 0.108 | T: 4.130 || ETA: 1 day, 15:55:36 || timer: 0.955
[  0]     490 || B: 1.227 | C: 1.483 | M: 1.240 | S: 0.109 | T: 4.059 || ETA: 1 day, 15:49:48 || timer: 0.979
[  0]     500 || B: 1.228 | C: 1.468 | M: 1.236 | S: 0.109 | T: 4.042 || ETA: 1 day, 15:43:01 || timer: 0.939
[  0]     510 || B: 1.216 | C: 1.454 | M: 1.213 | S: 0.108 | T: 3.992 || ETA: 1 day, 15:36:56 || timer: 0.993
[  0]     520 || B: 1.214 | C: 1.443 | M: 1.193 | S: 0.108 | T: 3.958 || ETA: 1 day, 15:32:50 || timer: 1.014
[  0]     530 || B: 1.211 | C: 1.419 | M: 1.183 | S: 0.107 | T: 3.920 || ETA: 1 day, 15:27:06 || timer: 0.914
[  0]     540 || B: 1.195 | C: 1.388 | M: 1.162 | S: 0.105 | T: 3.851 || ETA: 1 day, 15:54:28 || timer: 1.008
[  0]     550 || B: 1.165 | C: 1.350 | M: 1.139 | S: 0.102 | T: 3.756 || ETA: 1 day, 15:48:05 || timer: 0.907
[  0]     560 || B: 1.140 | C: 1.319 | M: 1.113 | S: 0.099 | T: 3.672 || ETA: 1 day, 15:45:17 || timer: 0.945
[  0]     570 || B: 1.129 | C: 1.294 | M: 1.098 | S: 0.097 | T: 3.618 || ETA: 1 day, 15:39:28 || timer: 0.918
[  0]     580 || B: 1.122 | C: 1.274 | M: 1.080 | S: 0.095 | T: 3.571 || ETA: 1 day, 15:34:15 || timer: 0.910
[  0]     590 || B: 1.105 | C: 1.271 | M: 1.064 | S: 0.093 | T: 3.533 || ETA: 1 day, 15:31:56 || timer: 1.678
[  0]     600 || B: 1.076 | C: 1.241 | M: 1.043 | S: 0.091 | T: 3.450 || ETA: 1 day, 15:26:17 || timer: 0.997
